Año,Trimestre,Provincia,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otras Tecnologias,Total,Accesos por cada 100 hogares,Periodo,Accesos Totales,Accesos Totales en el Periodo Anterior,Nuevos Accesos,Nuevos Acesos Cada 100 Hogares (NACH),Accesos por cada 100 hogares (nacional),Coeficiente de Desigualdad de Penetración por Hogar,Porcentaje Fibra Óptica
2019,4,Salta,"19,08",63272,76062,21865,3040,8206,172445.0,"50,35",2019 - Q4,172445,151835,20610,"13,57","53,55","0,19","12,68%"
2020,1,Salta,"21,43",60426,75593,23025,4125,7212,170381.0,"49,60",2020 - Q1,170381,172445,-2064,"-1,20","53,36","0,19","13,51%"
2020,2,Salta,"22,56",59502,81740,24289,5123,7108,177762.0,"51,58",2020 - Q2,177762,170381,7381,"4,33","55,36","0,17","13,66%"
2020,3,Salta,"25,26",58216,84128,25445,5764,7293,180846.0,"52,32",2020 - Q3,180846,177762,3084,"1,73","57,36","0,17","14,07%"
2020,4,Salta,"25,32",56659,87817,30604,5858,6452,187390.0,"54,04",2020 - Q4,187390,180846,6544,"3,62","58,44","0,17","16,33%"
2021,1,Salta,"27,32",54768,89187,31498,5669,6452,187574.0,"53,93",2021 - Q1,187574,187390,184,"0,10","59,08","0,17","16,79%"
2021,2,Salta,"29,24",51396,96016,32050,5724,6453,191639.0,"54,93",2021 - Q2,191639,187574,4065,"2,17","61,05","0,16","16,72%"
2021,3,Salta,"31,21",49212,98318,36126,5724,6453,195833.0,"55,96",2021 - Q3,195833,191639,4194,"2,19","63,01","0,17","18,45%"
2021,4,Salta,"33,94",46972,99808,39555,5882,7188,199405.0,"56,81",2021 - Q4,199405,195833,3572,"1,82","64,78","0,17","19,84%"
2022,1,Salta,"36,71",44714,98667,40994,5950,7190,197515.0,"56,11",2022 - Q1,197515,199405,-1890,"-0,95","65,90","0,17","20,75%"
2022,2,Salta,"38,77",42665,96178,47076,10068,7190,203177.0,"57,54",2022 - Q2,203177,197515,5662,"2,87","67,78","0,16","23,17%"
2022,3,Salta,"41,33",40006,96984,50254,10082,7215,204541.0,"57,76",2022 - Q3,204541,203177,1364,"0,67","68,58","0,16","24,57%"
2022,4,Salta,"75,93",36939,97023,53470,11884,6544,205860.0,"57,96",2022 - Q4,205860,204541,1319,"0,64","69,03","0,17","25,97%"
2023,1,Salta,"76,85",33427,96922,56259,12269,6549,205426.0,"57,67",2023 - Q1,205426,205860,-434,"-0,21","69,17","0,17","27,39%"
2023,2,Salta,"79,10",30666,97501,58275,12337,6549,205328.0,"57,48",2023 - Q2,205328,205426,-98,"-0,05","69,05","0,17","28,38%"
2023,3,Salta,"80,80",29113,98324,59914,12337,6545,206233.0,"57,57",2023 - Q3,206233,205328,905,"0,44","69,94","0,17","29,05%"
2023,4,Salta,"83,04",26765,98853,60800,11806,6508,204732.0,"56,98",2023 - Q4,204732,206233,-1501,"-0,73","72,00","0,16","29,70%"
2024,1,Salta,"84,34",23858,99150,61543,11807,6503,202861.0,"56,30",2024 - Q1,202861,204732,-1871,"-0,91","72,04","0,16","30,34%"
2014,1,San Juan,"3,47",48161,434,722,808,1173,51298.0,"27,60",2014 - Q1,51298,0,0,"0,00","36,19","0,30","1,41%"
2014,2,San Juan,"3,47",48161,451,722,1139,1173,51646.0,"27,78",2014 - Q2,51646,51298,348,"0,68","36,64","0,30","1,40%"
2014,3,San Juan,"3,47",48272,451,731,1199,1126,51779.0,"27,85",2014 - Q3,51779,51646,133,"0,26","37,34","0,30","1,41%"
2014,4,San Juan,"3,48",48653,451,740,1202,1073,52119.0,"28,04",2014 - Q4,52119,51779,340,"0,66","37,39","0,29","1,42%"
2015,1,San Juan,"3,48",48441,451,755,1165,1007,51819.0,"27,55",2015 - Q1,51819,52119,-300,"-0,58","38,51","0,29","1,46%"
2015,2,San Juan,"3,48",48670,451,770,1189,908,51988.0,"27,64",2015 - Q2,51988,51819,169,"0,33","38,97","0,29","1,48%"
2015,3,San Juan,"3,48",48670,451,770,1231,908,52030.0,"27,67",2015 - Q3,52030,51988,42,"0,08","39,64","0,29","1,48%"
2015,4,San Juan,"3,48",48670,451,770,1230,908,52029.0,"27,66",2015 - Q4,52029,52030,-1,"-0,00","39,67","0,29","1,48%"
2016,1,San Juan,"3,49",48670,451,770,1195,908,51994.0,"27,33",2016 - Q1,51994,52029,-35,"-0,07","38,92","0,29","1,48%"
2016,2,San Juan,"3,49",48670,451,770,1214,908,52013.0,"27,34",2016 - Q2,52013,51994,19,"0,04","39,89","0,29","1,48%"
2016,3,San Juan,"3,49",48670,451,770,1174,903,51968.0,"27,32",2016 - Q3,51968,52013,-45,"-0,09","40,31","0,29","1,48%"
2016,4,San Juan,"3,49",48670,451,772,1121,907,51921.0,"27,29",2016 - Q4,51921,51968,-47,"-0,09","40,43","0,30","1,49%"
2017,1,San Juan,"3,49",48670,451,772,1073,907,51873.0,"27,04",2017 - Q1,51873,51921,-48,"-0,09","39,56","0,29","1,49%"
2017,2,San Juan,"3,49",48670,451,772,1073,915,51881.0,"26,96",2017 - Q2,51881,51873,8,"0,02","40,29","0,30","1,49%"
2017,3,San Juan,"3,45",54499,5068,816,1053,1013,62449.0,"32,37",2017 - Q3,62449,51881,10568,"20,37","45,37","0,24","1,31%"
2017,4,San Juan,"5,83",54079,451,812,2246,1036,58624.0,"30,30",2017 - Q4,58624,62449,-3825,"-6,12","44,88","0,26","1,39%"
2018,1,San Juan,"5,85",54080,5068,826,2246,1048,63268.0,"32,61",2018 - Q1,63268,58624,4644,"7,92","45,95","0,23","1,31%"
2018,2,San Juan,"5,85",54080,5068,826,3079,1048,64101.0,"32,95",2018 - Q2,64101,63268,833,"1,32","47,53","0,24","1,29%"
2018,3,San Juan,"5,74",54025,5838,826,2744,1048,64481.0,"33,05",2018 - Q3,64481,64101,380,"0,59","49,64","0,22","1,28%"
2018,4,San Juan,"5,72",51660,5838,806,2883,1211,62398.0,"31,90",2018 - Q4,62398,64481,-2083,"-3,23","50,79","0,22","1,29%"
2019,1,San Juan,"5,84",51660,5838,808,2932,1207,62445.0,"31,83",2019 - Q1,62445,62398,47,"0,08","51,34","0,22","1,29%"
2019,2,San Juan,"6,12",51680,7425,1174,2870,6876,70025.0,"35,60",2019 - Q2,70025,62445,7580,"12,14","54,31","0,21","1,68%"
2019,3,San Juan,"6,04",51670,7425,1227,7241,5535,73098.0,"37,06",2019 - Q3,73098,70025,3073,"4,39","55,47","0,21","1,68%"
2019,4,San Juan,"6,04",41360,6338,4931,7241,5104,64974.0,"32,85",2019 - Q4,64974,73098,-8124,"-11,11","53,55","0,19","7,59%"
2020,1,San Juan,"6,04",40092,6448,5508,7082,5101,64231.0,"32,39",2020 - Q1,64231,64974,-743,"-1,14","53,36","0,19","8,58%"
2020,2,San Juan,"6,31",40092,8275,5509,7019,8882,69777.0,"35,09",2020 - Q2,69777,64231,5546,"8,63","55,36","0,17","7,90%"
2020,3,San Juan,"6,03",40092,9223,5509,14023,8480,77327.0,"38,79",2020 - Q3,77327,69777,7550,"10,82","57,36","0,17","7,12%"
2020,4,San Juan,"6,41",40072,7004,6599,10468,8453,72596.0,"36,32",2020 - Q4,72596,77327,-4731,"-6,12","58,44","0,17","9,09%"
2021,1,San Juan,"6,91",40072,11589,6671,11482,8453,78267.0,"39,06",2021 - Q1,78267,72596,5671,"7,81","59,08","0,17","8,52%"
2021,2,San Juan,"6,99",40072,12369,6673,11372,8447,78933.0,"39,28",2021 - Q2,78933,78267,666,"0,85","61,05","0,16","8,45%"
2021,3,San Juan,"7,04",40072,12922,6670,11372,8447,79483.0,"39,46",2021 - Q3,79483,78933,550,"0,70","63,01","0,17","8,39%"
2021,4,San Juan,"11,05",35868,13102,11072,11423,8493,79958.0,"39,59",2021 - Q4,79958,79483,475,"0,60","64,78","0,17","13,85%"
2022,1,San Juan,"11,99",34038,14449,11294,20723,7674,88178.0,"43,55",2022 - Q1,88178,79958,8220,"10,28","65,90","0,17","12,81%"
2022,2,San Juan,"14,44",38570,19734,12328,21859,7916,100407.0,"49,46",2022 - Q2,100407,88178,12229,"13,87","67,78","0,16","12,28%"
2022,3,San Juan,"15,84",38570,22723,12328,21860,7918,103399.0,"50,80",2022 - Q3,103399,100407,2992,"2,98","68,58","0,16","11,92%"
2022,4,San Juan,"16,39",38570,22913,12491,21912,7940,103826.0,"50,88",2022 - Q4,103826,103399,427,"0,41","69,03","0,17","12,03%"
2023,1,San Juan,"18,70",38568,21215,12798,21912,7274,101767.0,"49,75",2023 - Q1,101767,103826,-2059,"-1,98","69,17","0,17","12,58%"
2023,2,San Juan,"20,39",21483,20200,25217,23545,7004,97449.0,"47,52",2023 - Q2,97449,101767,-4318,"-4,24","69,05","0,17","25,88%"
2023,3,San Juan,"24,45",12669,19376,42383,22317,6985,103730.0,"50,45",2023 - Q3,103730,97449,6281,"6,45","69,94","0,17","40,86%"
2023,4,San Juan,"24,78",12669,18543,42691,22351,6956,103210.0,"50,08",2023 - Q4,103210,103730,-520,"-0,50","72,00","0,16","41,36%"
2024,1,San Juan,"30,58",12669,18543,44904,23594,6956,106666.0,"51,62",2024 - Q1,106666,103210,3456,"3,35","72,04","0,16","42,10%"
2014,1,San Luis,"3,50",11306,428,354,21,448,12557.0,"9,35",2014 - Q1,12557,0,0,"0,00","36,19","0,30","2,82%"
2014,2,San Luis,"3,50",11306,925,354,22,448,13055.0,"9,72",2014 - Q2,13055,12557,498,"3,97","36,64","0,30","2,71%"
2014,3,San Luis,"3,50",11303,925,355,25,438,13046.0,"9,71",2014 - Q3,13046,13055,-9,"-0,07","37,34","0,30","2,72%"
2014,4,San Luis,"3,50",11419,926,355,24,423,13147.0,"9,79",2014 - Q4,13147,13046,101,"0,77","37,39","0,29","2,70%"
2015,1,San Luis,"3,50",11414,1025,351,30,412,13232.0,"9,72",2015 - Q1,13232,13147,85,"0,65","38,51","0,29","2,65%"
2015,2,San Luis,"3,50",11432,1025,354,33,377,13221.0,"9,71",2015 - Q2,13221,13232,-11,"-0,08","38,97","0,29","2,68%"
2015,3,San Luis,"3,50",11432,1025,354,31,377,13219.0,"9,71",2015 - Q3,13219,13221,-2,"-0,02","39,64","0,29","2,68%"
2015,4,San Luis,"3,50",11432,1025,354,30,377,13218.0,"9,71",2015 - Q4,13218,13219,-1,"-0,01","39,67","0,29","2,68%"
2016,1,San Luis,"3,50",11432,1042,354,27,377,13232.0,"9,59",2016 - Q1,13232,13218,14,"0,11","38,92","0,29","2,68%"
2016,2,San Luis,"3,50",11432,1063,354,30,377,13256.0,"9,60",2016 - Q2,13256,13232,24,"0,18","39,89","0,29","2,67%"
2016,3,San Luis,"3,50",11432,1113,354,23,371,13293.0,"9,63",2016 - Q3,13293,13256,37,"0,28","40,31","0,29","2,66%"
2016,4,San Luis,"3,50",11432,1120,354,26,375,13307.0,"9,64",2016 - Q4,13307,13293,14,"0,11","40,43","0,30","2,66%"
2017,1,San Luis,"3,50",11432,1120,354,26,375,13307.0,"9,55",2017 - Q1,13307,13307,0,"0,00","39,56","0,29","2,66%"
2017,2,San Luis,"3,50",11432,1120,354,26,375,13307.0,"9,51",2017 - Q2,13307,13307,0,"0,00","40,29","0,30","2,66%"
2017,3,San Luis,"3,50",11407,7576,347,26,2363,21719.0,"15,48",2017 - Q3,21719,13307,8412,"63,21","45,37","0,24","1,60%"
2017,4,San Luis,"5,73",11104,1119,335,17,2329,14904.0,"10,59",2017 - Q4,14904,21719,-6815,"-31,38","44,88","0,26","2,25%"
2018,1,San Luis,"5,89",11104,7594,368,16,2314,21396.0,"15,15",2018 - Q1,21396,14904,6492,"43,56","45,95","0,23","1,72%"
2018,2,San Luis,"5,90",11104,7666,368,16,2314,21468.0,"15,15",2018 - Q2,21468,21396,72,"0,34","47,53","0,24","1,71%"
2018,3,San Luis,"8,81",11096,7784,368,52859,2314,74421.0,"52,35",2018 - Q3,74421,21468,52953,"246,66","49,64","0,22","0,49%"
2018,4,San Luis,"8,82",11108,7784,378,53097,23964,96331.0,"67,55",2018 - Q4,96331,74421,21910,"29,44","50,79","0,22","0,39%"
2019,1,San Luis,"8,71",11108,7784,378,53097,23968,96335.0,"67,34",2019 - Q1,96335,96331,4,"0,00","51,34","0,22","0,39%"
2019,2,San Luis,"19,88",11130,10298,347,57242,38368,117385.0,"81,79",2019 - Q2,117385,96335,21050,"21,85","54,31","0,21","0,30%"
2019,3,San Luis,"19,74",13037,10561,350,62286,36466,122700.0,"85,23",2019 - Q3,122700,117385,5315,"4,53","55,47","0,21","0,29%"
2019,4,San Luis,"20,69",8569,8027,6,55266,36333,108201.0,"74,92",2019 - Q4,108201,122700,-14499,"-11,82","53,55","0,19","0,01%"
2020,1,San Luis,"20,99",8301,7612,5,58301,36333,110552.0,"76,31",2020 - Q1,110552,108201,2351,"2,17","53,36","0,19","0,00%"
2020,2,San Luis,"21,02",8401,8357,6,60935,36253,113952.0,"78,41",2020 - Q2,113952,110552,3400,"3,08","55,36","0,17","0,01%"
2020,3,San Luis,"20,85",8401,10077,6,61828,36253,116565.0,"79,96",2020 - Q3,116565,113952,2613,"2,29","57,36","0,17","0,01%"
2020,4,San Luis,"21,25",8417,11767,27,63019,36205,119435.0,"81,68",2020 - Q4,119435,116565,2870,"2,46","58,44","0,17","0,02%"
2021,1,San Luis,"21,59",8417,10678,28,63826,36205,119154.0,"81,24",2021 - Q1,119154,119435,-281,"-0,24","59,08","0,17","0,02%"
2021,2,San Luis,"21,66",8417,11308,28,66860,36205,122818.0,"83,48",2021 - Q2,122818,119154,3664,"3,08","61,05","0,16","0,02%"
2021,3,San Luis,"21,70",8417,11884,27,68856,28680,117864.0,"79,87",2021 - Q3,117864,122818,-4954,"-4,03","63,01","0,17","0,02%"
2021,4,San Luis,"20,91",8472,11064,30,70560,28723,118849.0,"80,30",2021 - Q4,118849,117864,985,"0,84","64,78","0,17","0,03%"
2022,1,San Luis,"20,95",7987,11296,31,71809,28721,119844.0,"80,72",2022 - Q1,119844,118849,995,"0,84","65,90","0,17","0,03%"
2022,2,San Luis,"19,32",6860,29034,248,70614,14985,121741.0,"81,76",2022 - Q2,121741,119844,1897,"1,58","67,78","0,16","0,20%"
2022,3,San Luis,"19,33",6860,29363,248,70614,14985,122070.0,"81,74",2022 - Q3,122070,121741,329,"0,27","68,58","0,16","0,20%"
2022,4,San Luis,"30,67",6283,43460,3409,81557,511,135220.0,"90,27",2022 - Q4,135220,122070,13150,"10,77","69,03","0,17","2,52%"
2023,1,San Luis,"55,85",6283,42789,6952,78954,485,135463.0,"90,17",2023 - Q1,135463,135220,243,"0,18","69,17","0,17","5,13%"
2023,2,San Luis,"103,84",4937,41949,15595,77960,307,140748.0,"93,41",2023 - Q2,140748,135463,5285,"3,90","69,05","0,17","11,08%"
2023,3,San Luis,"104,97",4037,41624,24525,78431,299,148916.0,"98,55",2023 - Q3,148916,140748,8168,"5,80","69,94","0,17","16,47%"
2023,4,San Luis,"174,59",4037,41260,30135,78954,299,154685.0,"102,07",2023 - Q4,154685,148916,5769,"3,87","72,00","0,16","19,48%"
2024,1,San Luis,"179,49",4038,41260,31539,78954,299,156090.0,"102,70",2024 - Q1,156090,154685,1405,"0,91","72,04","0,16","20,21%"
2014,1,Santa Cruz,"3,32",18927,100,381,4092,3264,26764.0,"28,94",2014 - Q1,26764,0,0,"0,00","36,19","0,30","1,42%"
2014,2,Santa Cruz,"3,32",18956,448,381,4118,3266,27169.0,"29,38",2014 - Q2,27169,26764,405,"1,51","36,64","0,30","1,40%"
2014,3,Santa Cruz,"3,31",17862,492,385,4273,3098,26110.0,"28,23",2014 - Q3,26110,27169,-1059,"-3,90","37,34","0,30","1,47%"
2014,4,Santa Cruz,"3,33",17553,448,388,4395,2929,25713.0,"27,80",2014 - Q4,25713,26110,-397,"-1,52","37,39","0,29","1,51%"
2015,1,Santa Cruz,"3,47",16215,2700,392,4772,2562,26641.0,"27,99",2015 - Q1,26641,25713,928,"3,61","38,51","0,29","1,47%"
2015,2,Santa Cruz,"3,47",15343,2707,396,4917,2400,25763.0,"27,07",2015 - Q2,25763,26641,-878,"-3,30","38,97","0,29","1,54%"
2015,3,Santa Cruz,"3,48",15540,2718,396,5226,2391,26271.0,"27,61",2015 - Q3,26271,25763,508,"1,97","39,64","0,29","1,51%"
2015,4,Santa Cruz,"3,48",15614,2723,396,5261,2409,26403.0,"27,74",2015 - Q4,26403,26271,132,"0,50","39,67","0,29","1,50%"
2016,1,Santa Cruz,"3,48",15654,2723,396,5088,2426,26287.0,"26,87",2016 - Q1,26287,26403,-116,"-0,44","38,92","0,29","1,51%"
2016,2,Santa Cruz,"3,50",15453,2722,396,4996,2586,26153.0,"26,73",2016 - Q2,26153,26287,-134,"-0,51","39,89","0,29","1,51%"
2016,3,Santa Cruz,"3,54",15570,2722,817,4978,2170,26257.0,"26,84",2016 - Q3,26257,26153,104,"0,40","40,31","0,29","3,11%"
2016,4,Santa Cruz,"3,56",15607,2722,1055,4823,2257,26464.0,"27,05",2016 - Q4,26464,26257,207,"0,79","40,43","0,30","3,99%"
2017,1,Santa Cruz,"3,59",15502,2722,1272,4733,2257,26486.0,"26,52",2017 - Q1,26486,26464,22,"0,08","39,56","0,29","4,80%"
2017,2,Santa Cruz,"3,60",15311,2722,1365,4735,2255,26388.0,"26,25",2017 - Q2,26388,26486,-98,"-0,37","40,29","0,30","5,17%"
2017,3,Santa Cruz,"3,61",19220,5487,1544,4552,2887,33690.0,"33,29",2017 - Q3,33690,26388,7302,"27,67","45,37","0,24","4,58%"
2017,4,Santa Cruz,"5,21",18614,1668,582,4638,3950,29452.0,"28,91",2017 - Q4,29452,33690,-4238,"-12,58","44,88","0,26","1,98%"
2018,1,Santa Cruz,"5,19",18615,4474,1799,6734,2783,34405.0,"33,55",2018 - Q1,34405,29452,4953,"16,82","45,95","0,23","5,23%"
2018,2,Santa Cruz,"5,19",18615,4474,585,6734,3997,34405.0,"33,33",2018 - Q2,34405,34405,0,"0,00","47,53","0,24","1,70%"
2018,3,Santa Cruz,"5,37",18606,4574,585,6238,3996,33999.0,"32,73",2018 - Q3,33999,34405,-406,"-1,18","49,64","0,22","1,72%"
2018,4,Santa Cruz,"5,12",10659,4615,382,6378,2734,24768.0,"23,69",2018 - Q4,24768,33999,-9231,"-27,15","50,79","0,22","1,54%"
2019,1,Santa Cruz,"5,78",10659,4615,382,6514,2735,24905.0,"23,67",2019 - Q1,24905,24768,137,"0,55","51,34","0,22","1,53%"
2019,2,Santa Cruz,"6,01",10665,10257,379,6514,2735,30550.0,"28,85",2019 - Q2,30550,24905,5645,"22,67","54,31","0,21","1,24%"
2019,3,Santa Cruz,"5,02",10663,17056,969,6544,2738,37970.0,"35,63",2019 - Q3,37970,30550,7420,"24,29","55,47","0,21","2,55%"
2019,4,Santa Cruz,"5,21",13264,15899,1036,6800,2371,39370.0,"36,71",2019 - Q4,39370,37970,1400,"3,69","53,55","0,19","2,63%"
2020,1,Santa Cruz,"6,42",12845,15766,1026,6817,2368,38822.0,"35,97",2020 - Q1,38822,39370,-548,"-1,39","53,36","0,19","2,64%"
2020,2,Santa Cruz,"6,59",12845,16044,1027,6585,2368,38869.0,"35,79",2020 - Q2,38869,38822,47,"0,12","55,36","0,17","2,64%"
2020,3,Santa Cruz,"6,65",12845,16098,1027,6938,2373,39281.0,"35,95",2020 - Q3,39281,38869,412,"1,06","57,36","0,17","2,61%"
2020,4,Santa Cruz,"7,49",12347,19657,1041,4659,2970,40674.0,"37,00",2020 - Q4,40674,39281,1393,"3,55","58,44","0,17","2,56%"
2021,1,Santa Cruz,"7,50",12347,23089,5975,4264,390,46065.0,"41,65",2021 - Q1,46065,40674,5391,"13,25","59,08","0,17","12,97%"
2021,2,Santa Cruz,"7,63",12347,22967,6328,4269,3071,48982.0,"44,01",2021 - Q2,48982,46065,2917,"6,33","61,05","0,16","12,92%"
2021,3,Santa Cruz,"7,69",12347,22961,6328,4269,3071,48976.0,"43,75",2021 - Q3,48976,48982,-6,"-0,01","63,01","0,17","12,92%"
2021,4,Santa Cruz,"8,99",10790,22902,10031,4346,417,48486.0,"43,05",2021 - Q4,48486,48976,-490,"-1,00","64,78","0,17","20,69%"
2022,1,Santa Cruz,"10,89",10537,23420,10766,3974,405,49102.0,"43,34",2022 - Q1,49102,48486,616,"1,27","65,90","0,17","21,93%"
2022,2,Santa Cruz,"11,81",10170,23725,10815,3896,579,49185.0,"43,15",2022 - Q2,49185,49102,83,"0,17","67,78","0,16","21,99%"
2022,3,Santa Cruz,"12,60",10170,24047,10815,3896,582,49510.0,"43,19",2022 - Q3,49510,49185,325,"0,66","68,58","0,16","21,84%"
2022,4,Santa Cruz,"14,33",9702,23876,12217,3746,662,50203.0,"43,53",2022 - Q4,50203,49510,693,"1,40","69,03","0,17","24,34%"
2023,1,Santa Cruz,"14,98",9702,23839,12217,3660,943,50361.0,"43,42",2023 - Q1,50361,50203,158,"0,31","69,17","0,17","24,26%"
2023,2,Santa Cruz,"15,48",9019,23896,11269,3660,758,48602.0,"41,66",2023 - Q2,48602,50361,-1759,"-3,49","69,05","0,17","23,19%"
2023,3,Santa Cruz,"15,67",8376,23931,11270,3660,750,47987.0,"40,89",2023 - Q3,47987,48602,-615,"-1,27","69,94","0,17","23,49%"
2023,4,Santa Cruz,"36,77",7768,15669,55246,7687,661,87031.0,"73,75",2023 - Q4,87031,47987,39044,"81,36","72,00","0,16","63,48%"
2024,1,Santa Cruz,"31,60",7768,14435,49545,7799,661,80208.0,"67,58",2024 - Q1,80208,87031,-6823,"-7,84","72,04","0,16","61,77%"
2014,1,Santa Fe,"3,15",322662,174296,3059,5951,644,506612.0,"47,85",2014 - Q1,506612,0,0,"0,00","36,19","0,30","0,60%"
2014,2,Santa Fe,"3,31",324101,178495,3085,6041,636,512358.0,"48,39",2014 - Q2,512358,506612,5746,"1,13","36,64","0,30","0,60%"
2014,3,Santa Fe,"3,38",325577,183630,4407,6540,733,520887.0,"49,20",2014 - Q3,520887,512358,8529,"1,66","37,34","0,30","0,85%"
2014,4,Santa Fe,"3,78",335267,183009,3205,6282,1634,529397.0,"50,00",2014 - Q4,529397,520887,8510,"1,63","37,39","0,29","0,61%"
2015,1,Santa Fe,"4,06",328809,199037,2845,4239,1507,536437.0,"50,24",2015 - Q1,536437,529397,7040,"1,33","38,51","0,29","0,53%"
2015,2,Santa Fe,"4,30",333117,204685,2877,4320,1389,546388.0,"51,18",2015 - Q2,546388,536437,9951,"1,86","38,97","0,29","0,53%"
2015,3,Santa Fe,"4,56",337042,209673,4169,4426,1428,556738.0,"52,15",2015 - Q3,556738,546388,10350,"1,89","39,64","0,29","0,75%"
2015,4,Santa Fe,"4,81",339843,212911,2885,4596,1437,561672.0,"52,61",2015 - Q4,561672,556738,4934,"0,89","39,67","0,29","0,51%"
2016,1,Santa Fe,"4,90",338052,204816,3014,4686,1428,551996.0,"51,28",2016 - Q1,551996,561672,-9676,"-1,72","38,92","0,29","0,55%"
2016,2,Santa Fe,"5,14",336244,219088,2981,4744,1417,564474.0,"52,44",2016 - Q2,564474,551996,12478,"2,26","39,89","0,29","0,53%"
2016,3,Santa Fe,"5,68",334911,223011,3037,4862,1190,567011.0,"52,67",2016 - Q3,567011,564474,2537,"0,45","40,31","0,29","0,54%"
2016,4,Santa Fe,"6,04",326721,225792,3201,4946,1172,561832.0,"52,19",2016 - Q4,561832,567011,-5179,"-0,91","40,43","0,30","0,57%"
2017,1,Santa Fe,"6,28",327458,226094,3210,4948,1172,562882.0,"51,97",2017 - Q1,562882,561832,1050,"0,19","39,56","0,29","0,57%"
2017,2,Santa Fe,"6,84",329813,228102,3234,4958,1173,567280.0,"52,27",2017 - Q2,567280,562882,4398,"0,78","40,29","0,30","0,57%"
2017,3,Santa Fe,"7,79",322953,290655,6338,4897,37499,662342.0,"60,91",2017 - Q3,662342,567280,95062,"16,76","45,37","0,24","0,96%"
2017,4,Santa Fe,"10,30",341680,293831,10602,10965,15382,672460.0,"61,71",2017 - Q4,672460,662342,10118,"1,53","44,88","0,26","1,58%"
2018,1,Santa Fe,"11,17",341997,300421,10674,11636,15298,680026.0,"62,28",2018 - Q1,680026,672460,7566,"1,13","45,95","0,23","1,57%"
2018,2,Santa Fe,"11,75",337934,304349,11354,15801,15114,684552.0,"62,57",2018 - Q2,684552,680026,4526,"0,67","47,53","0,24","1,66%"
2018,3,Santa Fe,"12,36",339126,312866,11749,16337,15022,695100.0,"63,41",2018 - Q3,695100,684552,10548,"1,54","49,64","0,22","1,69%"
2018,4,Santa Fe,"13,18",335519,322782,14387,18705,28997,720390.0,"65,59",2018 - Q4,720390,695100,25290,"3,64","50,79","0,22","2,00%"
2019,1,Santa Fe,"12,99",340038,340344,15621,23215,17860,737078.0,"66,97",2019 - Q1,737078,720390,16688,"2,32","51,34","0,22","2,12%"
2019,2,Santa Fe,"15,07",325420,355140,18236,21980,22708,743484.0,"67,42",2019 - Q2,743484,737078,6406,"0,87","54,31","0,21","2,45%"
2019,3,Santa Fe,"18,17",319396,377171,18690,24269,21408,760934.0,"68,87",2019 - Q3,760934,743484,17450,"2,35","55,47","0,21","2,46%"
2019,4,Santa Fe,"20,55",312072,382254,27464,26978,20401,769169.0,"69,48",2019 - Q4,769169,760934,8235,"1,08","53,55","0,19","3,57%"
2020,1,Santa Fe,"22,42",302366,383673,35123,30488,19468,771118.0,"69,52",2020 - Q1,771118,769169,1949,"0,25","53,36","0,19","4,55%"
2020,2,Santa Fe,"23,93",299974,381679,46698,30487,19094,777932.0,"70,00",2020 - Q2,777932,771118,6814,"0,88","55,36","0,17","6,00%"
2020,3,Santa Fe,"25,69",295051,405807,45721,37112,19307,802998.0,"72,12",2020 - Q3,802998,777932,25066,"3,22","57,36","0,17","5,69%"
2020,4,Santa Fe,"27,29",287271,414746,62692,38712,17392,820813.0,"73,58",2020 - Q4,820813,802998,17815,"2,22","58,44","0,17","7,64%"
2021,1,Santa Fe,"28,13",277012,421480,70976,39140,17519,826127.0,"73,92",2021 - Q1,826127,820813,5314,"0,65","59,08","0,17","8,59%"
2021,2,Santa Fe,"30,70",256741,431915,90424,43997,17523,840600.0,"75,07",2021 - Q2,840600,826127,14473,"1,75","61,05","0,16","10,76%"
2021,3,Santa Fe,"33,13",245929,443156,93412,43447,15640,841584.0,"75,02",2021 - Q3,841584,840600,984,"0,12","63,01","0,17","11,10%"
2021,4,Santa Fe,"36,02",233427,444373,128856,43556,16229,866441.0,"77,09",2021 - Q4,866441,841584,24857,"2,95","64,78","0,17","14,87%"
2022,1,Santa Fe,"38,89",213486,444609,146552,45261,20571,870479.0,"77,30",2022 - Q1,870479,866441,4038,"0,47","65,90","0,17","16,84%"
2022,2,Santa Fe,"42,01",198492,428233,189503,43081,19550,878859.0,"77,90",2022 - Q2,878859,870479,8380,"0,96","67,78","0,16","21,56%"
2022,3,Santa Fe,"45,15",183740,426255,215189,43079,19547,887810.0,"78,55",2022 - Q3,887810,878859,8951,"1,02","68,58","0,16","24,24%"
2022,4,Santa Fe,"90,30",163621,412157,248558,44113,19242,887691.0,"78,40",2022 - Q4,887691,887810,-119,"-0,01","69,03","0,17","28,00%"
2023,1,Santa Fe,"92,22",138935,405618,283988,43487,14246,886274.0,"78,13",2023 - Q1,886274,887691,-1417,"-0,16","69,17","0,17","32,04%"
2023,2,Santa Fe,"94,87",126344,399669,311166,44134,14501,895814.0,"78,83",2023 - Q2,895814,886274,9540,"1,08","69,05","0,17","34,74%"
2023,3,Santa Fe,"97,39",108503,397854,336013,44545,13437,900352.0,"79,09",2023 - Q3,900352,895814,4538,"0,51","69,94","0,17","37,32%"
2023,4,Santa Fe,"99,81",97004,398670,355762,44521,13544,909501.0,"79,75",2023 - Q4,909501,900352,9149,"1,02","72,00","0,16","39,12%"
