Año,Trimestre,Provincia,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otras Tecnologias,Total,Accesos por cada 100 hogares,Periodo,Accesos Totales,Accesos Totales en el Periodo Anterior,Nuevos Accesos,Nuevos Acesos Cada 100 Hogares (NACH),Accesos por cada 100 hogares (nacional),Coeficiente de Desigualdad de Penetración por Hogar,Porcentaje Fibra Óptica
2021,3,Río Negro,"25,40",47934,44519,18725,15031,18376,144585.0,"61,97",2021 - Q3,144585,144084,501,"0,35","63,01","0,17","12,95%"
2021,4,Río Negro,"27,20",42037,44495,32212,16558,18451,153753.0,"65,69",2021 - Q4,153753,144585,9168,"6,34","64,78","0,17","20,95%"
2022,1,Río Negro,"31,09",38662,45366,38037,16815,18494,157374.0,"67,04",2022 - Q1,157374,153753,3621,"2,36","65,90","0,17","24,17%"
2022,2,Río Negro,"33,26",36050,47040,40946,16760,18968,159764.0,"67,85",2022 - Q2,159764,157374,2390,"1,52","67,78","0,16","25,63%"
2022,3,Río Negro,"34,13",35552,48260,41017,16760,18969,160558.0,"67,98",2022 - Q3,160558,159764,794,"0,50","68,58","0,16","25,55%"
2022,4,Río Negro,"75,31",34043,48401,43958,16277,19413,162092.0,"68,42",2022 - Q4,162092,160558,1534,"0,96","69,03","0,17","27,12%"
2023,1,Río Negro,"74,40",33604,49128,45329,16857,19413,164331.0,"69,16",2023 - Q1,164331,162092,2239,"1,38","69,17","0,17","27,58%"
2023,2,Río Negro,"70,76",26390,49684,53325,16864,17116,163379.0,"68,56",2023 - Q2,163379,164331,-952,"-0,58","69,05","0,17","32,64%"
2023,3,Río Negro,"70,93",22422,50429,56668,16864,17102,163485.0,"68,40",2023 - Q3,163485,163379,106,"0,06","69,94","0,17","34,66%"
2023,4,Río Negro,"74,37",21192,49789,64323,17284,15829,168417.0,"70,26",2023 - Q4,168417,163485,4932,"3,02","72,00","0,16","38,19%"
2024,1,Río Negro,"75,00",20841,49727,66889,17733,15829,171019.0,"71,14",2024 - Q1,171019,168417,2602,"1,54","72,04","0,16","39,11%"
2014,1,Salta,"3,30",73131,17538,45,8,568,91290.0,"28,70",2014 - Q1,91290,0,0,"0,00","36,19","0,30","0,05%"
2014,2,Salta,"3,39",73841,17504,45,7,577,91974.0,"28,91",2014 - Q2,91974,91290,684,"0,75","36,64","0,30","0,05%"
2014,3,Salta,"3,41",73828,18394,43,109,580,92954.0,"29,22",2014 - Q3,92954,91974,980,"1,07","37,34","0,30","0,05%"
2014,4,Salta,"3,86",76026,17289,48,6,578,93947.0,"29,53",2014 - Q4,93947,92954,993,"1,07","37,39","0,29","0,05%"
